"","H1_PelletTriflic_Fl_R1","H1_PelletTriflic_Fl_R2","H1_PelletTriflic_Fl_R3","H1_SonicSupTriflic_V2_R1","H1_SonicSupTriflic_V2_R2","H1_SonicSupTriflic_V2_R3","H1_wholetriflic_R1","H1_wholetriflic_R2","H1_wholetriflic_R3"
"56438756",3.87859529103142,3.81446958001933,3.98736623506575,3.77974845912715,4.00828880613727,3.91469490596101,3.89136152227787,3.88893982300725,3.92111803983263
"56448314",3.65525897135169,3.65621456214349,3.73369731670766,3.53636716115595,3.53636716115595,3.53636716115595,3.95174980122194,3.88893982300725,3.98466726063463
"56463874",3.53636716115595,3.53636716115595,3.53636716115595,4.08759267366985,4.2680637041073,4.1978548730421,3.53636716115595,3.53636716115595,3.53636716115595
"56469614",3.99262013277396,4.28174359806787,3.9329686128116,3.53636716115595,3.53636716115595,3.53636716115595,4.25618148713542,4.20563317524412,4.15539338167107
"56544527",4.27824108880982,4.3680644862327,4.39664474137281,3.53636716115595,3.53636716115595,3.53636716115595,4.16184255174279,4.34173067071824,4.10105823786961
"56557977",3.87859529103142,3.99491623669583,3.87421786996274,3.53636716115595,3.53636716115595,3.53636716115595,3.53636716115595,4.25195576064609,4.04432505426388
"56577705",4.44700921651779,4.32530853219889,4.39664474137281,3.53636716115595,3.53636716115595,3.53636716115595,4.25618148713542,4.20563317524412,4.30880926163685
"56591677",3.81275054827961,3.53636716115595,3.9329686128116,3.53636716115595,3.53636716115595,3.53636716115595,3.53636716115595,3.53636716115595,3.53636716115595
"56598169",3.53636716115595,3.53636716115595,3.53636716115595,4.74222162323396,4.70343372268438,4.62119300872077,3.53636716115595,3.53636716115595,3.53636716115595
"56601604",3.53636716115595,3.53636716115595,3.53636716115595,4.04331604612782,3.90720861963273,3.9673699839213,3.53636716115595,3.53636716115595,3.53636716115595
"56606988",3.53636716115595,3.53636716115595,3.58469642278323,4.04331604612782,4.10032024721548,4.1978548730421,3.53636716115595,3.53636716115595,3.53636716115595
"56610477",3.81275054827961,3.65621456214349,3.87421786996274,4.32912015126862,4.46031436564121,4.51366303234197,4.00801863990362,3.88893982300725,4.10105823786961
"56619488",3.53636716115595,3.53636716115595,3.53636716115595,3.53636716115595,3.53636716115595,3.53636716115595,4.20959639302267,4.25195576064609,4.20787271352267
"56665266",3.53636716115595,3.53636716115595,3.53636716115595,4.83336707005996,4.97756012143402,4.75586223932135,3.89136152227787,3.7453039044158,3.77080736925675
"56665966",3.53636716115595,3.53636716115595,3.53636716115595,3.94908945436606,3.85057585442994,3.7937080189076,3.53636716115595,3.53636716115595,3.53636716115595
"56682340",3.53636716115595,3.53636716115595,3.53636716115595,3.94908945436606,3.71534288314147,3.7937080189076,3.53636716115595,3.53636716115595,3.53636716115595
"56689328",3.65525897135169,3.65621456214349,3.73369731670766,3.53636716115595,3.53636716115595,3.53636716115595,3.95174980122194,3.88893982300725,3.98466726063463
"56713160",3.9377535473782,3.81446958001933,3.73369731670766,3.53636716115595,3.53636716115595,3.53636716115595,3.53636716115595,3.53636716115595,3.53636716115595
"56715199",3.81275054827961,3.99491623669583,3.9329686128116,4.08759267366985,4.05519653128713,4.06477438079124,3.74722024957899,3.66050274194027,3.85107171920376
"56723076",3.53636716115595,3.53636716115595,3.53636716115595,4.29086871125553,4.18623461090064,4.01716151393556,3.53636716115595,3.53636716115595,3.53636716115595
"56727435",3.9377535473782,3.93984296783162,3.87421786996274,3.94908945436606,3.78749900742069,3.64504802010064,3.95174980122194,4.00508895118836,3.77080736925675
"56735007",3.81275054827961,3.73864299363903,3.87421786996274,3.53636716115595,3.53636716115595,3.53636716115595,3.82424572839498,3.82206430322607,3.85107171920376
"56738928",5.13073529842492,5.27869942592303,5.28244406115776,4.86285250267022,5.00588226297064,4.94210807661868,5.05284141175227,5.16663021971627,5.21542911951152
"56740485",4.48730820411326,4.57042137644493,4.39664474137281,3.53636716115595,3.53636716115595,3.53636716115595,4.34646796741631,4.42812736850571,4.4522337744852
"56757236",3.73713882203652,3.81446958001933,3.80880976029009,3.53636716115595,3.58011763446362,3.53636716115595,3.74722024957899,3.88893982300725,3.67784820253892
"56779021",3.65525897135169,3.73864299363903,3.87421786996274,3.53636716115595,3.53636716115595,3.53636716115595,3.82424572839498,3.94908945436606,3.98466726063463
"56786586",3.99262013277396,4.19189232114394,4.08828847076042,4.86285250267022,4.79900970734697,4.81986582132579,4.30177351937556,4.15814002369993,4.25893404700054
"56786783",3.73713882203652,3.58595447815359,3.9329686128116,3.53636716115595,3.53636716115595,3.53636716115595,3.66175413389045,3.94908945436606,4.15539338167107
"56790193",3.99262013277396,4.047165701541,3.9329686128116,4.04331604612782,3.95921521198197,3.91469490596101,3.95174980122194,4.25195576064609,3.98466726063463
"56798577",3.81275054827961,3.81446958001933,3.87421786996274,4.13035920483081,3.95921521198197,4.11058122741607,3.74722024957899,3.82206430322607,3.85107171920376
"56803484",3.99262013277396,4.047165701541,3.9329686128116,4.08759267366985,3.95921521198197,3.91469490596101,3.95174980122194,4.25195576064609,3.98466726063463
"56813841",5.50483281579045,5.38563966536629,5.48713888228768,3.9972797600252,3.90720861963273,3.72063411951541,5.53121527124727,5.5960570849164,5.33979498715217
"56815607",4.32160798883823,4.49172956252892,4.35527363671885,3.53636716115595,3.53636716115595,3.53636716115595,4.25618148713542,4.34173067071824,4.40541601416866
"56827758",3.53636716115595,3.53636716115595,3.53636716115595,4.04331604612782,4.14390789379214,4.15483771134544,3.53636716115595,3.53636716115595,3.53636716115595
"56849055",4.04466311875441,3.99491623669583,3.98736623506575,3.63798574273907,3.85057585442994,3.7937080189076,3.89136152227787,3.82206430322607,3.77080736925675
"56850418",3.53636716115595,3.65621456214349,3.58469642278323,3.63798574273907,4.00828880613727,4.06477438079124,3.95174980122194,3.53636716115595,3.67784820253892
"56856871",3.87859529103142,3.73864299363903,3.80880976029009,3.53636716115595,3.53636716115595,3.53636716115595,3.53636716115595,3.53636716115595,3.53636716115595
"56866662",3.53636716115595,3.53636716115595,3.53636716115595,3.57851326474085,3.64186431591923,3.64504802010064,4.00801863990362,4.00508895118836,3.98466726063463
"56874442",3.99262013277396,3.65621456214349,3.73369731670766,3.9972797600252,4.10032024721548,4.06477438079124,4.06145059634789,4.15814002369993,4.25893404700054
"56886384",3.81275054827961,4.047165701541,3.87421786996274,3.53636716115595,3.53636716115595,3.53636716115595,3.82424572839498,3.7453039044158,3.59451943343147
"56895760",5.04160306600669,4.82334867574585,5.17260915886699,5.92994659675106,5.91608119490236,6.09507445918423,5.05284141175227,5.10662294141546,5.04939180757519
"56895823",3.9377535473782,4.047165701541,3.80880976029009,3.53636716115595,3.53636716115595,3.53636716115595,4.11260307561654,4.15814002369993,4.20787271352267
"56901494",4.36417199214513,4.64613865653071,4.59262629386122,3.70882289339194,3.78749900742069,3.53636716115595,4.47555747227926,4.51132579632444,4.49808277657116
"56903538",3.87859529103142,3.88050486160421,3.80880976029009,3.53636716115595,3.53636716115595,3.53636716115595,4.00801863990362,3.88893982300725,3.85107171920376
"56915883",4.23400832634894,4.3680644862327,4.13577200935745,4.17184430972789,4.30782475738094,4.36127269348482,4.06145059634789,4.05825593198396,3.85107171920376
"56917235",4.44700921651779,4.4512627300507,4.27023560590825,4.51132579632444,4.67050294579945,4.78812102944148,5.26241132416568,5.13683312430866,5.24717867503043
"56920468",3.99262013277396,3.81446958001933,3.80880976029009,4.67902284633859,4.86027044827318,4.55014646944181,4.00801863990362,4.1091526797787,4.04432505426388
"56923905",4.14239812400317,4.14529513173737,4.31314946622807,3.53636716115595,3.53636716115595,3.53636716115595,4.30177351937556,4.25195576064609,4.15539338167107
"56924487",3.9377535473782,3.81446958001933,3.80880976029009,3.77974845912715,3.90720861963273,4.01716151393556,3.53636716115595,3.53636716115595,3.53636716115595
"56925762",3.87859529103142,3.99491623669583,4.03893772300543,3.53636716115595,3.53636716115595,3.53636716115595,3.53636716115595,3.94908945436606,3.53636716115595
"56927716",3.53636716115595,3.53636716115595,3.53636716115595,4.08759267366985,4.05519653128713,4.15483771134544,3.74722024957899,3.82206430322607,3.77080736925675
"56935916",3.9377535473782,4.047165701541,3.87421786996274,3.53636716115595,3.53636716115595,3.53636716115595,4.00801863990362,4.1091526797787,3.92111803983263
"56936667",3.65525897135169,3.65621456214349,3.73369731670766,3.53636716115595,3.53636716115595,3.53636716115595,3.95174980122194,3.88893982300725,3.98466726063463
"56937313",3.53636716115595,3.53636716115595,3.53636716115595,4.13035920483081,3.85057585442994,3.72063411951541,3.66175413389045,3.7453039044158,3.77080736925675
"56937959",4.60377881472353,4.4512627300507,4.516388116114,4.80344539869352,4.89022217222416,4.94210807661868,4.11260307561654,3.53636716115595,4.20787271352267
"56938880",3.53636716115595,3.53636716115595,3.53636716115595,4.44020696525743,4.70343372268438,4.65576023065287,3.53636716115595,3.58767015800609,3.59451943343147
"56944123",3.99262013277396,3.73864299363903,3.6530894836839,4.13035920483081,4.22756574367126,4.15483771134544,4.11260307561654,4.1091526797787,3.98466726063463
"56945065",3.81275054827961,3.88050486160421,3.87421786996274,3.53636716115595,3.58011763446362,3.53636716115595,3.89136152227787,3.82206430322607,3.85107171920376
"56946912",3.53636716115595,3.81446958001933,3.53636716115595,3.53636716115595,3.53636716115595,3.53636716115595,3.74722024957899,3.94908945436606,3.85107171920376
"56948396",3.81275054827961,3.65621456214349,3.80880976029009,4.77306990563268,4.63699288042171,4.81986582132579,3.53636716115595,3.7453039044158,3.85107171920376
